Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
04/29/2022,757,2,20,155,134,177,110,74,60,26,21,0,427,329,1,125,67,133,269,46,117,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,1,1,4,3,1,3,3,4,0,15,5,0,5,2,7,5,0,1
12/30/2022,454,1,47,33,72,75,65,62,55,50,42,0,276,178,0,111,27,144,114,20,38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,6,4,6,9,8,10,0,22,25,0,8,3,20,13,2,1
07/31/2023,72,0,1,15,12,7,12,7,7,8,4,0,44,28,0,18,5,14,18,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11/16/2021,742,6,41,187,142,153,102,64,38,29,27,0,376,363,3,138,20,157,229,62,136,0,0,2,0,0,2,0,2,0,2,4,0,0,0,6,0,0,0,1,1,2,6,11,4,11,5,0,13,28,0,13,0,17,10,1,0
06/01/2020,233,20,63,21,50,35,32,35,17,17,26,0,137,95,1,97,8,57,46,8,17,0,0,0,1,2,4,4,9,0,11,9,0,6,1,9,4,0,0,2,3,11,7,9,7,11,13,0,28,35,0,20,1,29,12,0,1
07/24/2021,197,0,15,45,54,35,16,24,14,5,4,0,94,103,0,35,8,58,64,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,4,2,1,2,0,10,5,0,4,0,9,2,0,0
09/25/2022,190,5,20,24,32,45,26,27,16,11,8,1,111,79,0,40,13,43,61,9,24,0,0,0,0,0,0,2,3,0,4,1,0,1,0,2,2,0,0,1,2,3,2,1,4,2,4,1,12,8,0,4,1,8,5,1,1
11/29/2021,1463,7,76,370,282,292,199,179,97,32,12,0,735,724,4,290,47,284,472,138,232,0,1,0,1,0,1,1,3,0,5,2,0,2,1,3,1,0,0,2,4,4,10,18,11,18,9,0,41,35,0,15,2,35,18,4,2
05/02/2022,1269,1,25,324,251,250,164,124,70,59,27,0,721,545,3,232,101,232,449,87,168,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,5,1,2,1,5,5,5,0,14,11,0,6,3,6,7,2,1
08/01/2022,950,3,47,130,177,166,143,124,109,72,29,0,563,385,2,228,46,265,223,35,153,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,2,0,0,2,3,3,4,4,13,10,8,0,21,26,0,12,0,21,13,1,0
12/18/2020,1300,19,80,167,289,251,205,169,120,59,40,0,673,620,7,497,64,260,287,58,134,0,0,0,0,3,2,5,9,0,9,10,0,11,0,4,4,0,0,2,3,8,7,5,24,16,15,0,40,40,0,19,9,36,14,2,0
11/02/2022,531,0,30,101,105,87,74,72,46,19,27,0,317,214,0,119,43,193,103,27,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,7,3,7,0,15,15,0,6,1,18,4,0,1
05/17/2022,1375,0,36,360,255,280,148,146,91,64,30,1,806,568,1,286,97,271,429,74,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,2,6,7,9,1,26,10,0,4,2,15,13,1,1
09/11/2020,342,5,18,51,93,83,40,37,21,14,3,0,171,170,1,156,7,45,89,13,32,0,0,1,0,2,0,1,1,0,0,5,0,4,0,1,0,0,0,0,2,2,1,5,5,1,2,0,8,10,0,11,1,3,3,0,0
