Layer,Name,GEOID,Population
Census tract,Tract 101,17031010100,4599
Census tract,Tract 102.01,17031010201,7455
Census tract,Tract 102.02,17031010202,2896
Census tract,Tract 103,17031010300,6485
Census tract,Tract 104,17031010400,5213
Census tract,Tract 105.01,17031010501,4102
Census tract,Tract 105.02,17031010502,3089
Census tract,Tract 105.03,17031010503,1806
Census tract,Tract 106,17031010600,6395
Census tract,Tract 107.01,17031010701,3620
Census tract,Tract 107.02,17031010702,5082
Census tract,Tract 201,17031020100,3618
Census tract,Tract 202,17031020200,6840
Census tract,Tract 203.01,17031020301,5384
Census tract,Tract 203.02,17031020302,5137
Census tract,Tract 204,17031020400,4258
Census tract,Tract 205,17031020500,6775
Census tract,Tract 206.01,17031020601,6525
Census tract,Tract 206.02,17031020602,4765
Census tract,Tract 207.01,17031020701,1844
Census tract,Tract 207.02,17031020702,8226
Census tract,Tract 208.01,17031020801,6175
Census tract,Tract 208.02,17031020802,7916
Census tract,Tract 209.01,17031020901,6155
Census tract,Tract 209.02,17031020902,4848
Census tract,Tract 301.01,17031030101,3911
Census tract,Tract 301.02,17031030102,2841
Census tract,Tract 301.03,17031030103,2242
Census tract,Tract 301.04,17031030104,3411
Census tract,Tract 302,17031030200,5702
Census tract,Tract 303,17031030300,3676
Census tract,Tract 304,17031030400,2631
Census tract,Tract 305,17031030500,6786
Census tract,Tract 306.01,17031030601,3353
Census tract,Tract 306.03,17031030603,2410
Census tract,Tract 306.04,17031030604,3763
Census tract,Tract 307.01,17031030701,1625
Census tract,Tract 307.02,17031030702,2211
Census tract,Tract 307.03,17031030703,2947
Census tract,Tract 307.06,17031030706,2845
Census tract,Tract 308,17031030800,4169
Census tract,Tract 309,17031030900,3126
Census tract,Tract 310,17031031000,3907
Census tract,Tract 311,17031031100,4720
Census tract,Tract 312,17031031200,6359
Census tract,Tract 313,17031031300,7775
Census tract,Tract 314,17031031400,4964
Census tract,Tract 315.01,17031031501,4474
Census tract,Tract 315.02,17031031502,4628
