Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 101,17031010100,4599,60626,17031010100,0.101623847,0.068014706,0.120380739,0.104450763
Census tract,Tract 102.01,17031010201,7455,60626,17031010201,0.037051155,0.045036765,0.045912654,0.039140022
Census tract,Tract 102.01,17031010201,7455,60645,17031010201,0.116331341,0.082208589,0.174820751,0.12681738
Census tract,Tract 102.02,17031010202,2896,60626,17031010202,0.04791492,0.084558824,0.058370661,0.051238902
Census tract,Tract 103,17031010300,6485,60626,17031010300,0.126820157,0.080882353,0.115621501,0.123048802
Census tract,Tract 104,17031010400,5213,60626,17031010400,0.09457193,0.068014706,0.072648376,0.089189346
Census tract,Tract 104,17031010400,5213,60660,17031010400,0.0,0.005581395,0.0,0.000195669
Census tract,Tract 105.01,17031010501,4102,60626,17031010501,0.103148586,0.063419118,0.0806271,0.097226252
Census tract,Tract 105.02,17031010502,3089,60626,17031010502,0.076160707,0.038602941,0.073768197,0.074479197
Census tract,Tract 105.03,17031010503,1806,60626,17031010503,0.053823283,0.067095588,0.029675252,0.049236929
Census tract,Tract 105.03,17031010503,1806,60660,17031010503,0.001626468,0.016744186,0.005934718,0.00277198
Census tract,Tract 106,17031010600,6395,60626,17031010600,0.125790958,0.109375,0.138857783,0.127981199
Census tract,Tract 106,17031010600,6395,60660,17031010600,0.000476039,0.010232558,0.002739101,0.001141404
Census tract,Tract 107.01,17031010701,3620,60626,17031010701,0.041549135,0.009191176,0.047032475,0.041664249
Census tract,Tract 107.01,17031010701,3620,60645,17031010701,0.028287923,0.014723926,0.034584563,0.029078074
Census tract,Tract 107.02,17031010702,5082,60626,17031010702,0.087786842,0.201286765,0.091825308,0.092206813
Census tract,Tract 201,17031020100,3618,60202,17031020100,0.0,0.003099174,0.0,0.000153077
Census tract,Tract 201,17031020100,3618,60645,17031020100,0.093580396,0.144785276,0.110712779,0.098747794
Census tract,Tract 202,17031020200,6840,60202,17031020200,0.0,0.003099174,0.0,0.000153077
Census tract,Tract 202,17031020200,6840,60645,17031020200,0.122416534,0.242944785,0.055250949,0.11316077
Census tract,Tract 203.01,17031020301,5384,60645,17031020301,0.121813497,0.082208589,0.013918178,0.098957896
Census tract,Tract 203.02,17031020302,5137,60645,17031020302,0.106463461,0.126380368,0.11640658,0.109126817
Census tract,Tract 204,17031020400,4258,60645,17031020400,0.099994518,0.082208589,0.105862505,0.100554668
Census tract,Tract 205,17031020500,6775,60626,17031020500,0.019592895,0.003676471,0.004479283,0.015957755
Census tract,Tract 205,17031020500,6775,60645,17031020500,0.103667562,0.058895706,0.143610291,0.110093285
Census tract,Tract 205,17031020500,6775,60659,17031020500,0.004373907,0.035358114,0.005795235,0.00765228
Census tract,Tract 205,17031020500,6775,60660,17031020500,0.001507458,0.00372093,0.00136955,0.001565354
Census tract,Tract 206.01,17031020601,6525,60645,17031020601,0.121155638,0.090797546,0.13496415,0.122867468
Census tract,Tract 206.01,17031020601,6525,60659,17031020601,0.002374406,0.04306437,0.004722043,0.006777734
Census tract,Tract 206.02,17031020602,4765,60645,17031020602,0.078888219,0.071165644,0.09805989,0.082443903
Census tract,Tract 206.02,17031020602,4765,60659,17031020602,0.003436641,0.033091568,0.004078128,0.006427916
Census tract,Tract 207.01,17031020701,1844,60659,17031020701,0.044926268,0.138712602,0.029405452,0.050811142
