ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,CDCOVC_2020,CDCOVCR_2020,CHADXHP_2020,CHADXHPR_2020,CDCOVD_2020,CDCOVDR_2020
60601,17031839100,0.181653747,0.333591531,0.261510129,0.221078248,762,5052,32,212.2,11,72.9
60601,17031320100,0.818346253,0.666408469,0.738489871,0.778921752,762,5052,32,212.2,11,72.9
60602,17031320400,0,0.034921494,0.028213166,0.02798621,71,6200.9,58.25,503.4,0,0
60602,17031320100,0.882352941,0.285056849,0.272727273,0.395457311,71,6200.9,58.25,503.4,0,0
60602,17031839100,0.117647059,0.680021657,0.699059561,0.576556479,71,6200.9,58.25,503.4,0,0
60603,17031320100,0.000996016,0.001596806,0.002906977,0.001557228,50,4752.9,58.25,503.4,0,0
60603,17031839100,0.214143426,0.616367265,0.662790698,0.51570205,50,4752.9,58.25,503.4,0,0
60603,17031320400,0.784860558,0.382035928,0.334302326,0.482740722,50,4752.9,58.25,503.4,0,0
60604,17031839100,0.289308176,0.817786561,0.705263158,0.711263409,78,9477.5,58.25,503.4,0,0
60604,17031320400,0.710691824,0.182213439,0.294736842,0.288736591,78,9477.5,58.25,503.4,0,0
60605,17031330200,0.043534792,0.01050885,0.3004158,0.051009013,1411,4855.5,92,316.6,10,34.4
60605,17031330100,0.440907461,0.154314159,0.261954262,0.413376406,1411,4855.5,92,316.6,10,34.4
60605,17031839000,0.246413199,0.178097345,0.176715177,0.238813113,1411,4855.5,92,316.6,10,34.4
60605,17031320600,0.232379842,0.212942478,0.124740125,0.226848528,1411,4855.5,92,316.6,10,34.4
60605,17031320400,0.006994261,0.182522124,0.028066528,0.02045944,1411,4855.5,92,316.6,10,34.4
60605,17031839100,0.029770445,0.261615044,0.108108108,0.049493499,1411,4855.5,92,316.6,10,34.4
60606,17031839100,0.691388293,0.880164517,0.82278481,0.809606231,221,6723.5,39,1186.5,0,0
60606,17031280100,0.243334355,0.054776594,0.088607595,0.123647772,221,6723.5,39,1186.5,0,0
60606,17031281900,0.065277352,0.06505889,0.088607595,0.066745997,221,6723.5,39,1186.5,0,0
60607,17031838200,5.47E-05,0.000613121,0,0.000125549,1941,6626.2,131,447.2,0,0
60607,17031280400,0,0.006744329,0.002124044,0.001129944,1941,6626.2,131,447.2,0,0
60607,17031838100,0.002024181,0.014101778,0.006372133,0.004101276,1941,6626.2,131,447.2,0,0
60607,17031833000,0.203621642,0.414776211,0.241291419,0.236158192,1941,6626.2,131,447.2,0,0
60607,17031832900,0.050878057,0.026364194,0.123619371,0.054697635,1941,6626.2,131,447.2,0,0
60607,17031839000,0.087368018,0.03157572,0.011894647,0.072316384,1941,6626.2,131,447.2,0,0
60607,17031281900,0.005689589,0.021152667,0.00382328,0.007616656,1941,6626.2,131,447.2,0,0
60607,17031833100,0.350292686,0.204169221,0.199235344,0.315463486,1941,6626.2,131,447.2,0,0
60607,17031839100,0.039061218,0.033721643,0.006796941,0.035153798,1941,6626.2,131,447.2,0,0
60607,17031841900,0.063898463,0.1873084,0.101529312,0.084452814,1941,6626.2,131,447.2,0,0
60607,17031283100,0.077520652,0.019926426,0.084961767,0.070391295,1941,6626.2,131,447.2,0,0
60607,17031283200,0.039498878,0.010423053,0.061597281,0.037706633,1941,6626.2,131,447.2,0,0
60607,17031833300,0.080091909,0.029123237,0.15675446,0.080686336,1941,6626.2,131,447.2,0,0
60608,17031600700,0.036330392,0.017295054,0.026612277,0.033165647,6486,8101.5,669,835.6,129,161.1
60608,17031842900,0.054177598,0.090626081,0.023115773,0.052534868,6486,8101.5,669,835.6,129,161.1
60608,17031839800,0.001748947,0.007609824,0.004273504,0.002650842,6486,8101.5,669,835.6,129,161.1
60608,17031310200,0.004571111,0.018678658,0.005439005,0.005934271,6486,8101.5,669,835.6,129,161.1
60608,17031840200,0.025280229,0.029401591,0.018065268,0.024520288,6486,8101.5,669,835.6,129,161.1
60608,17031840700,0.022736307,0.031476998,0.03049728,0.024701027,6486,8101.5,669,835.6,129,161.1
60608,17031310400,0.018721679,0.00968523,0.027972028,0.01936922,6486,8101.5,669,835.6,129,161.1
60608,17031833300,0,0.001037703,0.0003885,0.000150616,6486,8101.5,669,835.6,129,161.1
60608,17031840400,0.035535416,0.039778623,0.020590521,0.033587372,6486,8101.5,669,835.6,129,161.1
60608,17031310900,0.058708959,0.034590107,0.072649573,0.058770371,6486,8101.5,669,835.6,129,161.1
60608,17031310300,0.031043803,0.094430993,0.03982129,0.037925114,6486,8101.5,669,835.6,129,161.1
60608,17031310500,0.021583592,0.03874092,0.029331779,0.024279302,6486,8101.5,669,835.6,129,161.1
60608,17031843500,0,0.013836043,0.000777001,0.001325421,6486,8101.5,669,835.6,129,161.1
60608,17031600400,0.005962318,0.009339329,0.006410256,0.006325873,6486,8101.5,669,835.6,129,161.1
60608,17031843200,0.031719533,0.102040816,0.033022533,0.038045607,6486,8101.5,669,835.6,129,161.1
60608,17031301200,0.037642102,0.031822899,0.041958042,0.037804621,6486,8101.5,669,835.6,129,161.1
60608,17031310800,0.055211066,0.049809754,0.079254079,0.058469139,6486,8101.5,669,835.6,129,161.1
60608,17031600900,0.059543684,0.022829471,0.073620824,0.058529385,6486,8101.5,669,835.6,129,161.1
60608,17031839700,0.055370061,0.033552404,0.056138306,0.05358918,6486,8101.5,669,835.6,129,161.1
60608,17031843300,0.027983147,0.01625735,0.031468531,0.027502485,6486,8101.5,669,835.6,129,161.1
60608,17031841300,0.050997695,0.070563819,0.069347319,0.055547188,6486,8101.5,669,835.6,129,161.1
60608,17031600600,0.035018682,0.017295054,0.024281274,0.031810103,6486,8101.5,669,835.6,129,161.1
60608,17031580100,0,0.000691802,0,6.02E-05,6486,8101.5,669,835.6,129,161.1
60608,17031840300,0.039589793,0.015565548,0.013986014,0.033527126,6486,8101.5,669,835.6,129,161.1
60608,17031580200,0,0.000345901,0.00019425,6.02E-05,6486,8101.5,669,835.6,129,161.1
60608,17031843100,7.95E-05,0,0.000582751,0.000150616,6486,8101.5,669,835.6,129,161.1
60608,17031841200,0.055688052,0.05499827,0.071678322,0.05810766,6486,8101.5,669,835.6,129,161.1
60608,17031310600,0.082399237,0.072293324,0.10042735,0.084314848,6486,8101.5,669,835.6,129,161.1
60608,17031841900,0.025637968,0.003459011,0.006410256,0.020724764,6486,8101.5,669,835.6,129,161.1
60608,17031283200,0.002384927,0.001037703,0.006798757,0.002952074,6486,8101.5,669,835.6,129,161.1
60608,17031838200,0,0.003459011,0.000971251,0.000451848,6486,8101.5,669,835.6,129,161.1
60608,17031301100,0.003815884,0.004842615,0.004079254,0.00394614,6486,8101.5,669,835.6,129,161.1
60608,17031291600,0.013355593,0.002075406,0.020590521,0.013495195,6486,8101.5,669,835.6,129,161.1
60608,17031310700,0.038635822,0.051193359,0.027195027,0.037955237,6486,8101.5,669,835.6,129,161.1
60608,17031282700,0.000198744,0.001729505,0.000582751,0.000391602,6486,8101.5,669,835.6,129,161.1
60608,17031282800,0.000158995,0.002421308,0.0003885,0.000391602,6486,8101.5,669,835.6,129,161.1
60608,17031283800,0.068169171,0.005188516,0.031080031,0.056932855,6486,8101.5,669,835.6,129,161.1
60609,17031590600,0.048213666,0.011853959,0.03377803,0.04327277,5775,9476.7,649,1065,125,205.1
60609,17031630100,0.015212328,0.015647226,0.012205507,0.014837485,5775,9476.7,649,1065,125,205.1
60609,17031839700,0.000891928,0.008060692,0.001419245,0.001549607,5775,9476.7,649,1065,125,205.1
60609,17031836100,0.00158565,0.009009009,0.004257735,0.002556851,5775,9476.7,649,1065,125,205.1
60609,17031835600,0.020514345,0.040303461,0.017882487,0.021771975,5775,9476.7,649,1065,125,205.1
60609,17031610300,0.062732273,0.113798009,0.07607153,0.068725061,5775,9476.7,649,1065,125,205.1
60609,17031611000,0.016550221,0.018018018,0.013624752,0.016270871,5775,9476.7,649,1065,125,205.1
60609,17031381400,0,0.000948317,0,7.75E-05,5775,9476.7,649,1065,125,205.1
60609,17031381800,0,0,0.000283849,3.87E-05,5775,9476.7,649,1065,125,205.1
60609,17031630200,0.001635201,0.003319109,0.001703094,0.001782048,5775,9476.7,649,1065,125,205.1
60609,17031611800,0.03528071,0.014698909,0.033210332,0.033316546,5775,9476.7,649,1065,125,205.1
60609,17031381700,0,0.010905642,0.002554641,0.001239685,5775,9476.7,649,1065,125,205.1
60609,17031835500,0.047272187,0.027975344,0.038603463,0.044512455,5775,9476.7,649,1065,125,205.1
60609,17031611700,0.030573312,0.010905642,0.034913426,0.029558749,5775,9476.7,649,1065,125,205.1
60609,17031840300,0.003121748,0.008534851,0.004541584,0.003757796,5775,9476.7,649,1065,125,205.1
60609,17031611300,0.04484416,0.045993362,0.055634402,0.046410723,5775,9476.7,649,1065,125,205.1
60609,17031610800,0.026856945,0.006164059,0.012489356,0.023205362,5775,9476.7,649,1065,125,205.1
60609,17031840000,0.019622417,0.007112376,0.021004825,0.018788982,5775,9476.7,649,1065,125,205.1
60609,17031835700,0.007234528,0.004267425,0.014476299,0.007980475,5775,9476.7,649,1065,125,205.1
60609,17031611900,0.033942818,0.034139403,0.055350554,0.036880642,5775,9476.7,649,1065,125,205.1
60609,17031590700,0.048362321,0.046941679,0.040590406,0.047185527,5775,9476.7,649,1065,125,205.1
60609,17031839900,0.086269263,0.089141773,0.089696282,0.086971681,5775,9476.7,649,1065,125,205.1
60609,17031611200,0.030474208,0.035087719,0.037751916,0.031844419,5775,9476.7,649,1065,125,205.1
60609,17031630500,0.000495516,0.005215742,0.002554641,0.001162205,5775,9476.7,649,1065,125,205.1
60609,17031835900,0.001139686,0.001896633,0.003406188,0.001510867,5775,9476.7,649,1065,125,205.1
60609,17031611500,0.035379813,0.033665244,0.020437127,0.033200325,5775,9476.7,649,1065,125,205.1
60609,17031611400,0.0349834,0.023707918,0.032074936,0.033665207,5775,9476.7,649,1065,125,205.1
60609,17031843800,0.036370844,0.032242769,0.027249503,0.034788672,5775,9476.7,649,1065,125,205.1
60609,17031380700,0.000198206,0.002370792,0.001135396,0.000503622,5775,9476.7,649,1065,125,205.1
60609,17031351400,0.005004707,0.004267425,0.004825433,0.004920002,5775,9476.7,649,1065,125,205.1
60609,17031842600,0.090431594,0.19772404,0.042861198,0.092705226,5775,9476.7,649,1065,125,205.1
60609,17031611100,0.031911204,0.007112376,0.031223389,0.02979119,5775,9476.7,649,1065,125,205.1
60609,17031580700,0.002527129,0.009483167,0.007663923,0.003796537,5775,9476.7,649,1065,125,205.1
60609,17031590500,0.0318121,0.030820294,0.039738859,0.032812924,5775,9476.7,649,1065,125,205.1
60609,17031380500,0.009117487,0.001422475,0.025546409,0.010731027,5775,9476.7,649,1065,125,205.1
60609,17031612100,0.024775779,0.012328118,0.023559466,0.023592763,5775,9476.7,649,1065,125,205.1
60609,17031351500,0.016550221,0.002370792,0.011637809,0.014721264,5775,9476.7,649,1065,125,205.1
60609,17031612000,0.025568604,0.0056899,0.026681805,0.024096386,5775,9476.7,649,1065,125,205.1
60609,17031840400,0.004211882,0.018018018,0.006812376,0.005694805,5775,9476.7,649,1065,125,205.1
60609,17031610400,0.022397304,0.034613561,0.031223389,0.024600008,5775,9476.7,649,1065,125,205.1
60609,17031400300,0,0.000474158,0,3.87E-05,5775,9476.7,649,1065,125,205.1
60609,17031381500,0,0.001422475,0,0.000116221,5775,9476.7,649,1065,125,205.1
60609,17031340600,0.020960309,0.005215742,0.045415839,0.023011661,5775,9476.7,649,1065,125,205.1
60609,17031611600,0.024973985,0.007112376,0.013908601,0.022004416,5775,9476.7,649,1065,125,205.1
60610,17031838300,0.06857249,0.069400631,0.050437468,0.067625297,2401,5921.4,220,542.6,27,66.6
60610,17031081700,0.026171524,0.166561514,0.001029336,0.031020522,2401,5921.4,220,542.6,27,66.6
60610,17031080100,0.147056091,0.048580442,0.088522903,0.139522546,2401,5921.4,220,542.6,27,66.6
60610,17031080201,0.087155821,0.039747634,0.05506948,0.083317046,2401,5921.4,220,542.6,27,66.6
60610,17031081000,0.162356366,0.135015773,0.086978899,0.157057099,2401,5921.4,220,542.6,27,66.6
60610,17031071700,0.000433611,0,0.003602676,0.000586347,2401,5921.4,220,542.6,27,66.6
60610,17031081202,0.005884721,0.011356467,0.020072054,0.006896552,2401,5921.4,220,542.6,27,66.6
60610,17031071500,0.003902499,0.008201893,0.003088008,0.004048583,2401,5921.4,220,542.6,27,66.6
60610,17031080300,0.137454703,0.147634069,0.240864642,0.143515287,2401,5921.4,220,542.6,27,66.6
60610,17031081800,0.020906247,0.092744479,0.024704066,0.024291498,2401,5921.4,220,542.6,27,66.6
60610,17031081201,0.011707498,0.002523659,0.002058672,0.010777607,2401,5921.4,220,542.6,27,66.6
60610,17031842200,0.056400409,0.03785489,0.084920226,0.057126902,2401,5921.4,220,542.6,27,66.6
60610,17031081900,0.01158361,0.007570978,0.010808029,0.011363954,2401,5921.4,220,542.6,27,66.6
60610,17031081100,0.087899154,0.100946372,0.041173443,0.085941645,2401,5921.4,220,542.6,27,66.6
60610,17031080400,0.068882213,0.066876972,0.23365929,0.077732794,2401,5921.4,220,542.6,27,66.6
60610,17031080202,0.103633041,0.063722397,0.050437468,0.098980874,2401,5921.4,220,542.6,27,66.6
60610,17031071800,0,0.00126183,0.00257334,0.000195449,2401,5921.4,220,542.6,27,66.6
60611,17031081401,0.073812092,0.195646857,0.078855548,0.087454114,1654,4978.3,104,313,12,36.1
60611,17031081500,0.1398211,0.219858156,0.098394976,0.147052472,1654,4978.3,104,313,12,36.1
60611,17031081202,0.066040728,0.01540719,0.089323098,0.06135284,1654,4978.3,104,313,12,36.1
60611,17031081300,0.159455687,0.132550746,0.085833915,0.153638523,1654,4978.3,104,313,12,36.1
60611,17031081403,0.280815835,0.230618733,0.478018144,0.282903261,1654,4978.3,104,313,12,36.1
60611,17031081402,0.155744465,0.052335534,0.050244243,0.140250486,1654,4978.3,104,313,12,36.1
60611,17031081201,0.124310093,0.153582783,0.119330077,0.127348305,1654,4978.3,104,313,12,36.1
60612,17031837300,0.027053555,0.013260174,0.042470156,0.028672737,2587,7668.6,355,1052.3,55,163
60612,17031838100,0.089319674,0.046181984,0.024793388,0.072885659,2587,7668.6,355,1052.3,55,163
60612,17031838600,0.03631679,0.0173754,0.045454545,0.036245841,2587,7668.6,355,1052.3,55,163
60612,17031280400,0.035703331,0.064014632,0.030073462,0.037340221,2587,7668.6,355,1052.3,55,163
60612,17031837100,0.053493651,0.061728395,0.044536272,0.05257398,2587,7668.6,355,1052.3,55,163
60612,17031837000,0.052021348,0.020118884,0.059458219,0.050385222,2587,7668.6,355,1052.3,55,163
60612,17031838200,0.044782529,0.195244627,0.045224977,0.059271581,2587,7668.6,355,1052.3,55,163
