Layer,Name,GEOID,Population
Zip code,60601,60601,15083
Zip code,60602,60602,1145
Zip code,60603,60603,1052
Zip code,60604,60604,823
Zip code,60605,60605,29060
Zip code,60606,60606,3287
Zip code,60607,60607,29293
Zip code,60608,60608,80059
Zip code,60609,60609,60939
Zip code,60610,60610,40548
Zip code,60611,60611,33224
Zip code,60612,60612,33735
Zip code,60613,60613,50761
Zip code,60614,60614,71954
Zip code,60615,60615,40590
Zip code,60616,60616,54197
Zip code,60617,60617,83553
Zip code,60618,60618,94907
Zip code,60619,60619,61207
Zip code,60620,60620,67711
Zip code,60621,60621,28018
Zip code,60622,60622,53294
Zip code,60623,60623,81283
Zip code,60624,60624,34892
Zip code,60625,60625,79444
Zip code,60626,60626,50544
Zip code,60628,60628,64254
Zip code,60629,60629,110029
Zip code,60630,60630,56433
Zip code,60631,60631,29529
Zip code,60632,60632,89857
Zip code,60633,60633,12689
Zip code,60634,60634,75082
Zip code,60636,60636,30024
Zip code,60637,60637,47300
Zip code,60638,60638,58669
Zip code,60639,60639,88204
Zip code,60640,60640,69363
Zip code,60641,60641,69880
Zip code,60642,60642,19716
Zip code,60643,60643,48887
Zip code,60644,60644,46591
Zip code,60645,60645,47270
Zip code,60646,60646,28569
Zip code,60647,60647,87633
Zip code,60649,60649,46633
Zip code,60651,60651,63492
Zip code,60652,60652,43447
Zip code,60653,60653,33154
Zip code,60654,60654,20022
Zip code,60655,60655,28569
Zip code,60656,60656,28218
Zip code,60657,60657,70958
Zip code,60659,60659,42735
Zip code,60660,60660,44498
Zip code,60661,60661,10354
Zip code,60707,60707,43093
Zip code,60827,60827,28483
